  id   | map_id | trs_path  
  5480 |    664 | 6N.1E.28
  5481 |    664 | 6N.1E.29
  5483 |    664 | 6N.1E.33
  5485 |    665 | 5S.3E.1
  5496 |    666 | 5N.1W.23
  5525 |    670 | 6N.1E.28
  5526 |    670 | 6N.1E.29
  5527 |    671 | 5N.1W.24
  5528 |    671 | 5N.1W.25
  5534 |    672 | 2S.4E.11
  5545 |    673 | 2N.2W.11
  5554 |    674 | 4N.1W.2
  5555 |    674 | 5N.1W.35
  5556 |    674 | 5N.1W.36
  5567 |    675 | 1N.3E.10
  5614 |    679 | 1N.4E.7
  5618 |    680 | 6N.1E.16
  5620 |    680 | 6N.1E.20
  5621 |    680 | 6N.1E.21
  5624 |    680 | 6N.1E.28
  5631 |    681 | 4S.3E.14
  5646 |    683 | 1N.3E.17
  5648 |    684 | 3S.3E.11
  5652 |    686 | 2S.4E.2
  5656 |    686 | 2S.4E.11
  5667 |    687 | 2S.2E.1
  5696 |    689 | 1S.3E.18
  5697 |    689 | 1S.3E.19
  5699 |    690 | 1N.1E.6
  5709 |    692 | 8N.1E.31
